Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"13,957,310.97",5.88,"13,957,310.97","217,000.00",64.32,Taiwan,Taiwan Stock Exchange,USD,31.48,AQLT
META,META PLATFORMS INC CLASS A,Communication,Equity,"12,166,281.94",5.13,"12,166,281.94","18,134.00",670.91,United States,NASDAQ,USD,1,AQLT
NVDA,NVIDIA CORP,Information Technology,Equity,"11,530,553.90",4.86,"11,530,553.90","57,065.00",202.06,United States,NASDAQ,USD,1,AQLT
AAPL,APPLE INC,Information Technology,Equity,"11,048,149.10",4.66,"11,048,149.10","40,462.00",273.05,United States,NASDAQ,USD,1,AQLT
MSFT,MICROSOFT CORP,Information Technology,Equity,"9,043,690.24",3.81,"9,043,690.24","21,632.00",418.07,United States,NASDAQ,USD,1,AQLT
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"7,059,163.82",2.97,"7,059,163.82","20,921.00",337.42,United States,NASDAQ,USD,1,AQLT
ASML,ASML HOLDING NV,Information Technology,Equity,"6,092,298.62",2.57,"6,092,298.62","4,157.00","1,465.55",Netherlands,Euronext Amsterdam,USD,0.85,AQLT
GOOG,ALPHABET INC CLASS C,Communication,Equity,"5,917,462.20",2.49,"5,917,462.20","17,643.00",335.4,United States,NASDAQ,USD,1,AQLT
LLY,ELI LILLY,Health Care,Equity,"5,774,212.30",2.43,"5,774,212.30","6,277.00",919.9,United States,NYSE,USD,1,AQLT
V,VISA INC CLASS A,Financials,Equity,"5,545,122.22",2.34,"5,545,122.22","17,663.00",313.94,United States,NYSE,USD,1,AQLT
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"4,267,303.62",1.8,"4,267,303.62","18,498.00",230.69,United States,NYSE,USD,1,AQLT
WMT,WALMART INC,Consumer Staples,Equity,"4,004,023.92",1.69,"4,004,023.92","31,301.00",127.92,United States,NASDAQ,USD,1,AQLT
NFLX,NETFLIX INC,Communication,Equity,"3,818,614.44",1.61,"3,818,614.44","40,268.00",94.83,United States,NASDAQ,USD,1,AQLT
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"3,709,969.12",1.56,"3,709,969.12","3,718.00",997.84,United States,NASDAQ,USD,1,AQLT
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"3,462,659.28",1.46,"3,462,659.28","13,158.00",263.16,United States,NASDAQ,USD,1,AQLT
MA,MASTERCARD INC CLASS A,Financials,Equity,"3,195,480.25",1.35,"3,195,480.25","6,185.00",516.65,United States,NYSE,USD,1,AQLT
CAT,CATERPILLAR INC,Industrials,Equity,"3,094,598.40",1.3,"3,094,598.40","3,876.00",798.4,United States,NYSE,USD,1,AQLT
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"2,859,609.24",1.2,"2,859,609.24","7,302.00",391.62,United States,NASDAQ,USD,1,AQLT
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"2,806,284.78",1.18,"2,806,284.78","19,422.00",144.49,United States,NYSE,USD,1,AQLT
ROP,ROCHE PS PAR AG,Health Care,Equity,"2,801,435.98",1.18,"2,801,435.98","6,798.00",412.1,Switzerland,SIX Swiss Exchange,USD,0.78,AQLT
