Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
ASML,ASML HOLDING NV,Information Technology,Equity,"4,042,385,959.92",2.22,"4,042,385,959.92","2,758,269.00","1,465.55",Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
AZN,ASTRAZENECA PLC,Health Care,Equity,"2,227,658,506.49",1.22,"2,227,658,506.49","11,017,328.00",202.2,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"2,224,190,081.25",1.22,"2,224,190,081.25","121,869,150.00",18.25,United Kingdom,London Stock Exchange,USD,0.74,01-Jan-98,IEFA
ROP,ROCHE PS PAR AG,Health Care,Equity,"2,059,130,861.31",1.13,"2,059,130,861.31","4,996,713.00",412.1,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
NOVN,NOVARTIS AG,Health Care,Equity,"2,049,796,798.23",1.13,"2,049,796,798.23","13,501,749.00",151.82,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
NESN,NESTLE SA,Consumer Staples,Equity,"1,805,412,861.44",0.99,"1,805,412,861.44","18,305,664.00",98.63,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
SHEL,SHELL PLC,Energy,Equity,"1,791,100,250.08",0.98,"1,791,100,250.08","40,448,447.00",44.28,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
SIE,SIEMENS N AG,Industrials,Equity,"1,541,605,029.65",0.85,"1,541,605,029.65","5,399,332.00",285.52,Germany,Xetra,USD,0.85,--,IEFA
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"1,534,415,657.10",0.84,"1,534,415,657.10","11,892,535.00",129.02,Australia,Asx - All Markets,USD,1.4,--,IEFA
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"1,445,007,295.03",0.79,"1,445,007,295.03","79,912,100.00",18.08,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
BHP,BHP GROUP LTD,Materials,Equity,"1,438,719,514.44",0.79,"1,438,719,514.44","36,071,533.00",39.89,Australia,Asx - All Markets,USD,1.4,--,IEFA
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"1,431,471,251.06",0.79,"1,431,471,251.06","67,032,125.00",21.36,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
