Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,Notional Weight,Market Weight,ETF
FLEX,FLEX LTD,EQUITY,Information Technology,Equity,"1,043,767,177.04","1,043,767,177.04","12,384,518.00",84.28,United States,NASDAQ,USD,1.00,--,0.90,0.90,IJH
FTI,TECHNIPFMC PLC,EQUITY,Energy,Equity,"956,789,912.88","956,789,912.88","13,625,604.00",70.22,United States,NYSE,USD,1.00,--,0.82,0.82,IJH
CW,CURTISS WRIGHT CORP,EQUITY,Industrials,Equity,"906,591,388.89","906,591,388.89","1,241,889.00",730.01,United States,NYSE,USD,1.00,--,0.78,0.78,IJH
XPO,XPO INC,EQUITY,Industrials,Equity,"901,110,795.69","901,110,795.69","3,945,837.00",228.37,United States,NYSE,USD,1.00,--,0.77,0.78,IJH
FN,FABRINET,EQUITY,Information Technology,Equity,"844,757,367.79","844,757,367.79","1,206,779.00",700.01,United States,NYSE,USD,1.00,--,0.73,0.73,IJH
UTHR,UNITED THERAPEUTICS CORP,EQUITY,Health Care,Equity,"831,688,704.00","831,688,704.00","1,450,350.00",573.44,United States,NASDAQ,USD,1.00,--,0.71,0.72,IJH
WWD,WOODWARD INC,EQUITY,Industrials,Equity,"790,761,426.40","790,761,426.40","2,008,028.00",393.80,United States,NASDAQ,USD,1.00,--,0.68,0.68,IJH
MTZ,MASTEC INC,EQUITY,Industrials,Equity,"767,732,437.66","767,732,437.66","2,066,074.00",371.59,United States,NYSE,USD,1.00,--,0.66,0.66,IJH
ENTG,ENTEGRIS INC,EQUITY,Information Technology,Equity,"762,460,869.12","762,460,869.12","5,119,936.00",148.92,United States,NASDAQ,USD,1.00,--,0.65,0.66,IJH
CRS,CARPENTER TECHNOLOGY CORP,EQUITY,Industrials,Equity,"758,693,970.87","758,693,970.87","1,677,747.00",452.21,United States,NYSE,USD,1.00,--,0.65,0.65,IJH
ATI,ATI INC,EQUITY,Industrials,Equity,"750,797,293.48","750,797,293.48","4,576,358.00",164.06,United States,NYSE,USD,1.00,--,0.64,0.65,IJH
