Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
NVDA,NVIDIA CORP,Information Technology,Equity,"62,862,843,763.28",8.04,"62,862,843,763.28","311,109,788.00",202.06,United States,NASDAQ,USD,1.00,IVV
AAPL,APPLE INC,Information Technology,Equity,"51,322,565,649.05",6.57,"51,322,565,649.05","187,960,321.00",273.05,United States,NASDAQ,USD,1.00,IVV
MSFT,MICROSOFT CORP,Information Technology,Equity,"39,745,759,796.03",5.09,"39,745,759,796.03","95,069,629.00",418.07,United States,NASDAQ,USD,1.00,IVV
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"31,051,973,910.48",3.97,"31,051,973,910.48","125,068,366.00",248.28,United States,NASDAQ,USD,1.00,IVV
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"25,150,826,221.70",3.22,"25,150,826,221.70","74,538,635.00",337.42,United States,NASDAQ,USD,1.00,IVV
AVGO,BROADCOM INC,Information Technology,Equity,"24,258,508,504.23",3.10,"24,258,508,504.23","60,702,421.00",399.63,United States,NASDAQ,USD,1.00,IVV
GOOG,ALPHABET INC CLASS C,Communication,Equity,"20,082,088,751.40",2.57,"20,082,088,751.40","59,875,041.00",335.40,United States,NASDAQ,USD,1.00,IVV
META,META PLATFORMS INC CLASS A,Communication,Equity,"18,786,684,283.45",2.40,"18,786,684,283.45","28,001,795.00",670.91,United States,NASDAQ,USD,1.00,IVV
TSLA,TESLA INC,Consumer Discretionary,Equity,"14,132,909,602.50",1.81,"14,132,909,602.50","36,007,413.00",392.50,United States,NASDAQ,USD,1.00,IVV
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"11,082,931,520.64",1.42,"11,082,931,520.64","23,476,808.00",472.08,United States,NYSE,USD,1.00,IVV
JPM,JPMORGAN CHASE & CO,Financials,Equity,"10,942,167,032.34",1.40,"10,942,167,032.34","34,518,966.00",316.99,United States,NYSE,USD,1.00,IVV
LLY,ELI LILLY,Health Care,Equity,"9,332,563,040.70",1.19,"9,332,563,040.70","10,145,193.00",919.90,United States,NYSE,USD,1.00,IVV
XOM,EXXON MOBIL CORP,Energy,Equity,"7,901,401,310.40",1.01,"7,901,401,310.40","53,503,530.00",147.68,United States,NYSE,USD,1.00,IVV
WMT,WALMART INC,Consumer Staples,Equity,"7,179,196,596.00",0.92,"7,179,196,596.00","56,122,550.00",127.92,United States,NASDAQ,USD,1.00,IVV
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"7,117,575,459.80",0.91,"7,117,575,459.80","30,853,420.00",230.69,United States,NYSE,USD,1.00,IVV
V,VISA INC CLASS A,Financials,Equity,"6,756,796,253.68",0.86,"6,756,796,253.68","21,522,572.00",313.94,United States,NYSE,USD,1.00,IVV
