Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
NVDA,NVIDIA CORP,Information Technology,Equity,"2,490,536,599.68",15.21,"2,490,536,599.68","12,325,728.00",202.06,United States,NASDAQ,USD,1.00,IWY
AAPL,APPLE INC,Information Technology,Equity,"2,077,439,488.75",12.68,"2,077,439,488.75","7,608,275.00",273.05,United States,NASDAQ,USD,1.00,IWY
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,645,864,247.05",10.05,"1,645,864,247.05","3,936,815.00",418.07,United States,NASDAQ,USD,1.00,IWY
AVGO,BROADCOM INC,Information Technology,Equity,"818,790,317.73",5.00,"818,790,317.73","2,048,871.00",399.63,United States,NASDAQ,USD,1.00,IWY
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"781,683,014.04",4.77,"781,683,014.04","3,148,393.00",248.28,United States,NASDAQ,USD,1.00,IWY
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"678,911,309.72",4.15,"678,911,309.72","2,012,066.00",337.42,United States,NASDAQ,USD,1.00,IWY
META,META PLATFORMS INC CLASS A,Communication,Equity,"589,901,642.96",3.60,"589,901,642.96","879,256.00",670.91,United States,NASDAQ,USD,1.00,IWY
GOOG,ALPHABET INC CLASS C,Communication,Equity,"549,489,509.40",3.36,"549,489,509.40","1,638,311.00",335.40,United States,NASDAQ,USD,1.00,IWY
TSLA,TESLA INC,Consumer Discretionary,Equity,"547,041,772.50",3.34,"547,041,772.50","1,393,737.00",392.50,United States,NASDAQ,USD,1.00,IWY
LLY,ELI LILLY,Health Care,Equity,"423,846,684.70",2.59,"423,846,684.70","460,753.00",919.90,United States,NYSE,USD,1.00,IWY
V,VISA INC CLASS A,Financials,Equity,"330,296,587.94",2.02,"330,296,587.94","1,052,101.00",313.94,United States,NYSE,USD,1.00,IWY
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"276,816,781.44",1.69,"276,816,781.44","277,416.00",997.84,United States,NASDAQ,USD,1.00,IWY
MA,MASTERCARD INC CLASS A,Financials,Equity,"259,767,486.80",1.59,"259,767,486.80","502,792.00",516.65,United States,NYSE,USD,1.00,IWY
NFLX,NETFLIX INC,Communication,Equity,"251,188,643.73",1.53,"251,188,643.73","2,648,831.00",94.83,United States,NASDAQ,USD,1.00,IWY
ABBV,ABBVIE INC,Health Care,Equity,"225,557,286.37",1.38,"225,557,286.37","1,107,247.00",203.71,United States,NYSE,USD,1.00,IWY
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"206,512,441.56",1.26,"206,512,441.56","784,741.00",263.16,United States,NASDAQ,USD,1.00,IWY
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"199,172,529.36",1.22,"199,172,529.36","1,365,224.00",145.89,United States,NASDAQ,USD,1.00,IWY
GE,GE AEROSPACE,Industrials,Equity,"197,371,878.00",1.21,"197,371,878.00","650,105.00",303.60,United States,NYSE,USD,1.00,IWY
ORCL,ORACLE CORP,Information Technology,Equity,"186,831,207.68",1.14,"186,831,207.68","1,052,096.00",177.58,United States,NYSE,USD,1.00,IWY
GEV,GE VERNOVA INC,Industrials,Equity,"167,081,983.02",1.02,"167,081,983.02","168,739.00",990.18,United States,NYSE,USD,1.00,IWY
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"166,456,305.52",1.02,"166,456,305.52","474,248.00",350.99,United States,NYSE,USD,1.00,IWY
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"161,881,761.60",0.99,"161,881,761.60","588,768.00",274.95,United States,NASDAQ,USD,1.00,IWY
KLAC,KLA CORP,Information Technology,Equity,"148,467,711.48",0.91,"148,467,711.48","82,239.00","1,805.32",United States,NASDAQ,USD,1.00,IWY
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"116,535,962.20",0.71,"116,535,962.20","762,620.00",152.81,United States,NYSE,USD,1.00,IWY
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"107,578,039.15",0.66,"107,578,039.15","644,759.00",166.85,United States,NYSE,USD,1.00,IWY
