Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
8031,MITSUI LTD,Industrials,Equity,"3,161,649.19",2.20,"3,161,649.19","86,000.00",36.76,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6857,ADVANTEST CORP,Information Technology,Equity,"3,124,066.90",2.17,"3,124,066.90","18,300.00",170.71,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8058,MITSUBISHI CORP,Industrials,Equity,"2,938,360.26",2.04,"2,938,360.26","95,000.00",30.93,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8411,MIZUHO FINANCIAL GROUP INC,Financials,Equity,"2,861,594.07",1.99,"2,861,594.07","67,050.00",42.68,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9984,SOFTBANK GROUP CORP,Communication,Equity,"2,826,898.48",1.97,"2,826,898.48","94,000.00",30.07,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"2,598,822.01",1.81,"2,598,822.01","74,000.00",35.12,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8035,TOKYO ELECTRON LTD,Information Technology,Equity,"2,564,490.22",1.78,"2,564,490.22","9,200.00",278.75,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6503,MITSUBISHI ELECTRIC CORP,Industrials,Equity,"2,531,153.74",1.76,"2,531,153.74","66,000.00",38.35,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"2,296,472.33",1.60,"2,296,472.33","127,000.00",18.08,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4063,SHIN ETSU CHEMICAL LTD,Materials,Equity,"2,261,293.27",1.57,"2,261,293.27","53,000.00",42.67,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7741,HOYA CORP,Health Care,Equity,"2,203,603.26",1.53,"2,203,603.26","11,800.00",186.75,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"2,178,637.44",1.52,"2,178,637.44","102,020.00",21.36,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7011,MITSUBISHI HEAVY INDUSTRIES LTD,Industrials,Equity,"2,128,885.95",1.48,"2,128,885.95","75,000.00",28.39,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8001,ITOCHU CORP,Industrials,Equity,"2,090,673.72",1.45,"2,090,673.72","168,000.00",12.44,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8766,TOKIO MARINE HOLDINGS INC,Financials,Equity,"2,033,922.33",1.41,"2,033,922.33","45,000.00",45.20,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9983,FAST RETAILING LTD,Consumer Discretionary,Equity,"2,022,079.44",1.41,"2,022,079.44","4,300.00",470.25,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
JPY,JPY CASH,Cash and/or Derivatives,Cash,"1,979,039.59",1.38,"1,979,039.59","314,162,640.00",0.63,Japan,--,USD,158.75,JPXN
6501,HITACHI LTD,Industrials,Equity,"1,947,651.89",1.35,"1,947,651.89","60,000.00",32.46,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8002,MARUBENI CORP,Industrials,Equity,"1,816,529.65",1.26,"1,816,529.65","49,000.00",37.07,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6861,KEYENCE CORP,Information Technology,Equity,"1,792,493.12",1.25,"1,792,493.12","4,444.00",403.35,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6981,MURATA MANUFACTURING LTD,Information Technology,Equity,"1,701,256.73",1.18,"1,701,256.73","57,000.00",29.85,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
5803,FUJIKURA LTD,Industrials,Equity,"1,671,813.29",1.16,"1,671,813.29","48,000.00",34.83,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9432,NTT INC,Communication,Equity,"1,475,580.33",1.03,"1,475,580.33","1,526,000.00",0.97,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"1,449,570.07",1.01,"1,449,570.07","68,000.00",21.32,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"1,440,990.27",1.00,"1,440,990.27","30,000.00",48.03,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8053,SUMITOMO CORP,Industrials,Equity,"1,436,265.71",1.00,"1,436,265.71","38,000.00",37.80,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9433,KDDI CORP,Communication,Equity,"1,389,813.85",0.97,"1,389,813.85","84,000.00",16.55,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6146,DISCO CORP,Information Technology,Equity,"1,378,626.10",0.96,"1,378,626.10","3,000.00",459.54,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
9434,SOFTBANK CORP,Communication,Equity,"1,365,435.13",0.95,"1,365,435.13","972,000.00",1.40,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6752,PANASONIC HOLDINGS CORP,Consumer Discretionary,Equity,"1,333,947.53",0.93,"1,333,947.53","71,000.00",18.79,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6702,FUJITSU LTD,Information Technology,Equity,"1,323,934.61",0.92,"1,323,934.61","56,000.00",23.64,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6301,KOMATSU LTD,Industrials,Equity,"1,322,876.31",0.92,"1,322,876.31","30,000.00",44.10,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,Consumer Discretionary,Equity,"1,319,701.41",0.92,"1,319,701.41","21,000.00",62.84,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
2914,JAPAN TOBACCO INC,Consumer Staples,Equity,"1,313,049.23",0.91,"1,313,049.23","36,000.00",36.47,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6954,FANUC CORP,Industrials,Equity,"1,187,987.02",0.83,"1,187,987.02","29,000.00",40.97,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8591,ORIX CORP,Financials,Equity,"1,174,714.16",0.82,"1,174,714.16","37,000.00",31.75,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6367,DAIKIN INDUSTRIES LTD,Industrials,Equity,"1,120,791.21",0.78,"1,120,791.21","8,000.00",140.10,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6701,NEC CORP,Information Technology,Equity,"1,098,479.32",0.76,"1,098,479.32","40,300.00",27.26,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6723,RENESAS ELECTRONICS CORP,Information Technology,Equity,"1,086,049.95",0.76,"1,086,049.95","58,000.00",18.72,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8630,SOMPO HOLDINGS INC,Financials,Equity,"1,073,444.83",0.75,"1,073,444.83","29,000.00",37.02,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8750,DAIICHI LIFE GROUP INC,Financials,Equity,"1,066,137.52",0.74,"1,066,137.52","116,000.00",9.19,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4519,CHUGAI PHARMACEUTICAL LTD,Health Care,Equity,"1,058,527.83",0.74,"1,058,527.83","19,000.00",55.71,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4568,DAIICHI SANKYO LTD,Health Care,Equity,"1,039,572.90",0.72,"1,039,572.90","55,009.00",18.90,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8802,MITSUBISHI ESTATE CO LTD,Real Estate,Equity,"1,032,523.86",0.72,"1,032,523.86","36,000.00",28.68,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7974,NINTENDO LTD,Communication,Equity,"964,603.61",0.67,"964,603.61","18,000.00",53.59,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8801,MITSUI FUDOSAN LTD,Real Estate,Equity,"960,729.47",0.67,"960,729.47","87,000.00",11.04,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7267,HONDA MOTOR LTD,Consumer Discretionary,Equity,"954,568.65",0.66,"954,568.65","113,000.00",8.45,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8725,MS&AD INSURANCE GROUP HOLDINGS INC,Financials,Equity,"938,372.86",0.65,"938,372.86","37,000.00",25.36,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
3382,SEVEN & I HOLDINGS LTD,Consumer Staples,Equity,"891,177.67",0.62,"891,177.67","70,000.00",12.73,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8308,RESONA HOLDINGS INC,Financials,Equity,"886,024.76",0.62,"886,024.76","72,000.00",12.31,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4578,OTSUKA HOLDINGS LTD,Health Care,Equity,"875,019.69",0.61,"875,019.69","13,000.00",67.31,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4503,ASTELLAS PHARMA INC,Health Care,Equity,"842,500.87",0.59,"842,500.87","52,040.00",16.19,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8604,NOMURA HOLDINGS INC,Financials,Equity,"836,303.51",0.58,"836,303.51","99,000.00",8.45,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6762,TDK CORP,Information Technology,Equity,"832,681.34",0.58,"832,681.34","52,000.00",16.01,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
2802,AJINOMOTO INC,Consumer Staples,Equity,"830,011.65",0.58,"830,011.65","28,600.00",29.02,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6273,SMC (JAPAN) CORP,Industrials,Equity,"810,394.03",0.56,"810,394.03","1,800.00",450.22,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
8015,TOYOTA TSUSHO CORP,Industrials,Equity,"752,124.48",0.52,"752,124.48","19,000.00",39.59,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6920,LASERTEC CORP,Information Technology,Equity,"742,927.34",0.52,"742,927.34","2,800.00",265.33,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
7751,CANON INC,Information Technology,Equity,"735,393.24",0.51,"735,393.24","26,000.00",28.28,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
6902,DENSO CORP,Consumer Discretionary,Equity,"729,393.05",0.51,"729,393.05","59,000.00",12.36,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
4901,FUJIFILM HOLDINGS CORP,Information Technology,Equity,"721,156.57",0.50,"721,156.57","36,000.00",20.03,Japan,Tokyo Stock Exchange,USD,158.75,JPXN
