Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,ETF
NVDA,NVIDIA CORP,Information Technology,Equity,"3,294,099,314.80",6.61,"3,294,099,314.80","16,302,580.00",202.06,United States,NASDAQ,USD,1.00,QUAL
AAPL,APPLE INC,Information Technology,Equity,"3,154,588,426.65",6.33,"3,154,588,426.65","11,553,153.00",273.05,United States,NASDAQ,USD,1.00,QUAL
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,584,155,052.78",5.18,"2,584,155,052.78","6,181,154.00",418.07,United States,NASDAQ,USD,1.00,QUAL
META,META PLATFORMS INC CLASS A,Communication,Equity,"1,916,027,045.33",3.84,"1,916,027,045.33","2,855,863.00",670.91,United States,NASDAQ,USD,1.00,QUAL
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"1,645,455,268.80",3.30,"1,645,455,268.80","6,252,680.00",263.16,United States,NASDAQ,USD,1.00,QUAL
TJX,TJX INC,Consumer Discretionary,Equity,"1,624,813,332.93",3.26,"1,624,813,332.93","10,174,797.00",159.69,United States,NYSE,USD,1.00,QUAL
V,VISA INC CLASS A,Financials,Equity,"1,467,846,562.16",2.94,"1,467,846,562.16","4,675,564.00",313.94,United States,NYSE,USD,1.00,QUAL
KLAC,KLA CORP,Information Technology,Equity,"1,436,265,653.68",2.88,"1,436,265,653.68","795,574.00","1,805.32",United States,NASDAQ,USD,1.00,QUAL
LLY,ELI LILLY,Health Care,Equity,"1,436,055,890.00",2.88,"1,436,055,890.00","1,561,100.00",919.90,United States,NYSE,USD,1.00,QUAL
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,214,231,908.32",2.44,"1,214,231,908.32","3,100,536.00",391.62,United States,NASDAQ,USD,1.00,QUAL
MA,MASTERCARD INC CLASS A,Financials,Equity,"1,179,863,788.65",2.37,"1,179,863,788.65","2,283,681.00",516.65,United States,NYSE,USD,1.00,QUAL
CAT,CATERPILLAR INC,Industrials,Equity,"1,128,600,675.20",2.26,"1,128,600,675.20","1,413,578.00",798.40,United States,NYSE,USD,1.00,QUAL
