Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),ETF,% of Net Assets
1,NVDA,Nvidia Corp,BBG000BBJQV0,"49,925,473",Stock,"$10,087,941,074.38",SMH,18.80%
2,TSM,Taiwan Semiconductor Manufacturing Co L,BBG000BD8ZK0,"15,525,940",Stock,"$5,686,220,265.60",SMH,10.60%
3,AVGO,Broadcom Inc,BBG00KHY5S69,"11,159,919",Stock,"$4,459,838,429.97",SMH,8.31%
4,INTC,Intel Corp,BBG000C0G1D1,"43,553,933",Stock,"$2,861,493,398.10",SMH,5.33%
5,AMD,Advanced Micro Devices Inc,BBG000BBQCY0,"10,202,283",Stock,"$2,805,117,710.85",SMH,5.23%
6,KLAC,Kla Corp,BBG000BMTFR4,"1,426,460",Stock,"$2,575,216,767.20",SMH,4.80%
7,LRCX,Lam Research Corp,BBG000BNFLM9,"9,547,782",Stock,"$2,512,594,311.12",SMH,4.68%
8,ADI,Analog Devices Inc,BBG000BB6G37,"6,546,401",Stock,"$2,494,506,101.05",SMH,4.65%
9,MU,Micron Technology Inc,BBG000C5Z1S3,"5,545,590",Stock,"$2,486,753,467.80",SMH,4.63%
10,ASML,Asml Holding Nv,BBG000K6MRN4,"1,674,450",Stock,"$2,472,325,425.00",SMH,4.61%
11,TXN,Texas Instruments Inc,BBG000BVV7G1,"10,518,562",Stock,"$2,458,187,939.40",SMH,4.58%
12,AMAT,Applied Materials Inc,BBG000BBPFB9,"5,952,436",Stock,"$2,331,092,986.32",SMH,4.34%
13,QCOM,Qualcomm Inc,BBG000CGC1X8,"14,069,325",Stock,"$1,934,813,574.00",SMH,3.61%
14,MRVL,Marvell Technology Inc,BBG00ZXBJ153,"10,535,342",Stock,"$1,557,544,961.28",SMH,2.90%
15,SNPS,Synopsys Inc,BBG000BSFRF3,"2,795,414",Stock,"$1,288,546,083.30",SMH,2.40%
16,CDNS,Cadence Design Systems Inc,BBG000C13CD9,"3,880,233",Stock,"$1,235,854,210.50",SMH,2.30%
17,TER,Teradyne Inc,BBG000BV4DR6,"2,112,784",Stock,"$792,737,684.64",SMH,1.48%
18,MPWR,Monolithic Power Systems Inc,BBG000C30L48,"499,290",Stock,"$744,371,489.40",SMH,1.39%
19,NXPI,Nxp Semiconductors Nv,BBG000BND699,"2,790,084",Stock,"$617,557,192.56",SMH,1.15%
20,MCHP,Microchip Technology Inc,BBG000BHCP19,"6,849,984",Stock,"$550,670,213.76",SMH,1.03%
21,STM,Stmicroelectronics Nv,BBG000BD4GX2,"11,499,393",Stock,"$511,263,012.78",SMH,0.95%
22,ARM,Arm Holdings Plc,BBG01J1GXZF0,"2,240,559",Stock,"$392,321,880.90",SMH,0.73%
23,ON,On Semiconductor Corp,BBG000DV7MX4,"4,281,579",Stock,"$366,331,899.24",SMH,0.68%
24,ALAB,Astera Labs Inc,BBG00TDKHW99,"1,795,560",Stock,"$315,659,448.00",SMH,0.59%
25,SWKS,Skyworks Solutions Inc,BBG000KLB4Q1,"1,739,427",Stock,"$103,426,329.42",SMH,0.19%
26,-USD CASH-,,,"29,843,837",Cash Bal,"$29,843,836.52",SMH,0.06%
27,--,Other/Cash,--,--,Cash,"$-8,652,755.95",SMH,-0.02%
